"rfid_id","qr_id","rfid_id_box","rfid_id_pallet","prod_id","location_id","antenna_id_prod","antenna_id_box","antenna_id_pallet","timestamp_prod","timestamp_box","timestamp_pallet","lote_prod","nperbox","nperpallet","tag_goodread","tag_loc_goodread"
"1BB791037F52CC6E12393DD2","AD3E288F0B5C7E02","FA28AB4ECF2C4B8558A897CC","0C0276E24DCD271C7019BB55","SKU0001","Fabrica Main","1","2","3",1645603340,1645470629,1645674799,"2343",10,10,"Y","Y"
"0735D5A624D66256D22F4A09","AA3637FAA35A7649","FA28AB4ECF2C4B8558A897CC","0C0276E24DCD271C7019BB55","SKU0001","Fabrica Main","1","2","3",1645602139,1645458619,1645674799,"2343",10,10,"Y","Y"
"0143CFE0093BB7F21DB19A33","EA49E5DE5BC7ABC1","48A12930C440A2C366885680","0C0276E24DCD271C7019BB55","SKU0001","Fabrica Main","1","2","3",1645600938,1645458619,1645674799,"2343",10,10,"Y","Y"
"DBC6BBE9583A55EA03802F1D","DDC5B7A3B8C80C94","48A12930C440A2C366885680","0C0276E24DCD271C7019BB55","SKU0001","Fabrica Main","1","2","3",1645599737,1645458619,1645674799,"2343",10,10,"Y","Y"
"95AD4FFD42E5776D9721E59D","B7DA3488ECFEBDDA","48A12930C440A2C366885680","0C0276E24DCD271C7019BB55","SKU0001","Fabrica Main","1","2","3",1645598536,1645458619,1645674799,"2343",10,10,"Y","Y"
"A98364E116DFC57B20CF927F","9FD04295A0D3E402","48A12930C440A2C366885680","0C0276E24DCD271C7019BB55","SKU0001","Fabrica Main","1","2","3",1645597335,1645458619,1645674799,"2343",10,10,"Y","Y"
"B7F9D3AA41AD326E738FA773","3971324230BE9C24","48A12930C440A2C366885680","0C0276E24DCD271C7019BB55","SKU0001","Fabrica Main","1","2","3",1645596134,1645458619,1645674799,"2343",10,10,"Y","Y"
"9E89F7EE7842D6A742E522C9","4EE1AB6422D8CE87","48A12930C440A2C366885680","0C0276E24DCD271C7019BB55","SKU0001","Fabrica Main","1","2","3",1645594933,1645458619,1645674799,"2343",10,10,"Y","Y"
"31190B8F29D898AFF30FD1A1","B032CB021A4D111D","48A12930C440A2C366885680","0C0276E24DCD271C7019BB55","SKU0001","Fabrica Main","1","2","3",1645593732,1645458619,1645674799,"2343",10,10,"Y","Y"
"AE94DB511C5518E36956260C","25685F53A84C9CF5","48A12930C440A2C366885680","0C0276E24DCD271C7019BB55","SKU0001","Fabrica Main","1","2","3",1645592531,1645458619,1645674799,"2343",10,10,"Y","Y"
"06E779C5A032F5E1C56449AC","888D105803A966BE","48A12930C440A2C366885680","0C0276E24DCD271C7019BB55","SKU0001","Fabrica Main","1","2","3",1645591330,1645458619,1645674799,"2343",10,10,"Y","Y"
"89F7277F19C30C1FB89557ED","0D9AE4CC723B15C4","48A12930C440A2C366885680","0C0276E24DCD271C7019BB55","SKU0001","Fabrica Main","1","2","3",1645590129,1645458619,1645674799,"2343",10,10,"Y","Y"
"432160D213B0AA64B7F44947","866285C44A781968","B395B08BE848F1BE3DA552A5","0C0276E24DCD271C7019BB55","SKU0001","Fabrica Main","1","2","3",1645588928,1645446609,1645674799,"2343",10,10,"Y","Y"
"5936DB5AE65337CCB60E3DC9","7D893EC94216E463","B395B08BE848F1BE3DA552A5","0C0276E24DCD271C7019BB55","SKU0001","Fabrica Main","1","2","3",1645587727,1645446609,1645674799,"2343",10,10,"Y","Y"
"93F1695B510899E6D553263B","42CDD917C3D6E693","B395B08BE848F1BE3DA552A5","0C0276E24DCD271C7019BB55","SKU0001","Fabrica Main","1","2","3",1645586526,1645446609,1645674799,"2343",10,10,"Y","Y"
